Date,Value
2020-01-01,10.36994016266898
2020-01-02,10.306554461040902
2020-01-03,9.465950014947692
2020-01-04,13.76432942643389
2020-01-05,12.345263448222536
2020-01-06,12.298296526284403
2020-01-07,11.310435800936016
2020-01-08,12.108599530795026
2020-01-09,11.604938216373009
2020-01-10,12.155860620013366
2020-01-11,13.53347502164862
2020-01-12,15.834123486499372
2020-01-13,12.201674838144253
2020-01-14,12.47118748901881
2020-01-15,15.344128869099322
2020-01-16,13.375944492033565
2020-01-17,14.398223235394372
2020-01-18,15.24013030575947
2020-01-19,14.74507900355739
2020-01-20,13.370833888884706
2020-01-21,14.979287757751742
2020-01-22,15.612474349014223
2020-01-23,14.885144711704475
2020-01-24,17.183098457218502
2020-01-25,14.992164389172368
2020-01-26,16.329800402785136
2020-01-27,17.74280729897382
2020-01-28,17.412144054918798
2020-01-29,18.12849169028994
2020-01-30,18.29737343122252
